step,vehicles,pedestrians,waiting_vehicles,waiting_pedestrians,avg_vehicle_wait,avg_pedestrian_wait,phase,phase_duration,time_in_phase,state,q_table_size,epsilon
149,7.514265586309392,4,1,0,1.0238073129941823,1.732507008056746,3,20,22,"(2,1,1,0)",199,0.09792998055015283
150,8.517638090205041,4,0,0,1.2254523988348973,0.3714300208893138,1,15,8,"(2,1,1,0)",200,0.09791608780216728
151,7.521009017285297,2,1,0,0.26358552087753956,0.14012537132244288,3,31,8,"(2,1,1,0)",201,0.09790219505418173
152,9.52437835728173,1,1,0,1.045687715806636,2.3761100637401946,2,28,20,"(2,1,1,0)",202,0.09788830230619618
153,9.527746099930745,3,2,0,0.736950922784954,1.3672972951456095,2,31,3,"(2,1,1,0)",203,0.09787440955821063
154,3.5311122349736177,2,2,0,0.9558976343335607,0.9350713198448586,1,17,11,"(2,1,1,0)",204,0.09786051681022506
155,4.534476752156514,4,0,0,1.252428793602319,0.6935632997105785,2,18,13,"(2,1,1,0)",205,0.09784662406223951
156,8.537839641230532,2,0,0,2.089895534709414,1.7321764724109108,0,15,18,"(2,1,1,0)",206,0.09783273131425396
157,6.5412008919517275,3,1,0,0.32897458468405066,0.7935601787340282,2,24,14,"(2,1,1,0)",207,0.09781883856626841
158,6.544560494081149,4,1,0,0.9153591509263876,1.2640585395948971,1,23,19,"(2,1,1,0)",208,0.09780494581828286
159,5.547918437384865,1,1,0,2.968955105689224,0.3700904679183241,3,28,3,"(2,1,1,0)",209,0.09779105307029731
160,3.551274711633998,4,0,0,0.10383694550820921,4.058504883565638,3,27,4,"(2,1,1,0)",210,0.09777716032231176
161,6.554629306604756,5,0,0,0.8830543939518928,0.1946891113485607,1,22,14,"(2,1,1,0)",211,0.09776326757432621
162,9.557982212078459,2,1,0,0.019336890547656305,0.09761194270754439,2,22,8,"(2,1,1,0)",212,0.09774937482634066
163,8.561333417841576,3,3,0,0.16200853930454784,1.0933523020307472,2,19,8,"(2,1,1,0)",213,0.0977354820783551
164,5.564682913685753,4,0,0,1.2263810040117444,3.756455648382179,1,30,24,"(2,1,1,0)",214,0.09772158933036955
165,5.568030689407845,4,0,0,1.0660766787412073,2.4388954362737403,2,33,5,"(2,1,1,0)",215,0.097707696582384
166,5.571376734809947,2,1,0,1.480539822141188,0.10430471680302562,2,22,10,"(2,1,1,0)",216,0.09769380383439845
167,1.574721039699424,1,1,0,0.5641102799391915,4.178128636247297,1,27,13,"(2,1,1,0)",217,0.0976799110864129
168,8.578063593888944,6,2,0,1.7720885412165015,0.4267845935479655,1,18,22,"(2,1,1,0)",218,0.09766601833842735
169,5.581404387196505,1,2,0,0.7812459564178529,1.2888359203627437,1,34,12,"(2,1,1,0)",219,0.0976521255904418
170,1.5847434094454735,0,1,0,0.06547715735361416,0.611453369044183,3,29,13,"(2,1,1,0)",220,0.09763823284245625
171,8.588080650464608,5,1,0,1.758491751999565,0.37722157967188985,1,26,5,"(2,1,1,0)",221,0.09762434009447069
172,4.591416100088093,3,0,0,0.3845881457780948,1.7682135309275038,2,18,14,"(2,1,1,0)",222,0.09761044734648514
173,2.594749748155572,5,1,0,0.16139920316509498,1.9720841943398448,1,31,10,"(2,1,1,0)",223,0.09759655459849959
174,9.598081584512173,7,1,0,1.3930162171964644,1.3953654938521167,1,23,9,"(2,1,1,0)",224,0.09758266185051404
175,6.6014115990085465,6,1,0,2.045454680085829,0.2778719129903566,0,34,15,"(2,1,1,0)",225,0.09756876910252849
176,3.604739781500889,2,0,0,0.5865620838403389,1.3818317318201745,3,29,6,"(2,1,1,0)",226,0.09755487635454294
177,8.60806612185098,4,2,0,0.8093367197125423,1.384557687242772,1,21,0,"(2,1,1,0)",227,0.09754098360655739
178,9.611390609926211,2,0,0,0.4318321057400071,1.0107768962801014,2,23,20,"(2,1,1,0)",228,0.09752709085857184
179,3.614713235599614,5,3,0,1.492155938201825,10.024123041612329,2,27,15,"(2,1,1,0)",229,0.09751319811058629
180,8.618033988749895,0,0,0,3.2821110517097014,3.7439087152132187,1,23,23,"(2,1,1,0)",230,0.09749930536260072
181,9.621352859261464,2,1,0,0.040256790767068555,3.1337929372644333,0,19,1,"(2,1,1,0)",231,0.09748541261461517
182,5.624669837024465,4,1,0,0.23715865640007225,0.8842215758062995,0,26,16,"(2,1,1,0)",232,0.09747151986662962
183,7.62798491193481,1,0,0,1.6254128831285657,1.941325612597764,3,23,19,"(2,1,1,0)",233,0.09745762711864407
184,9.631298073894206,7,1,0,0.8844903203939645,4.352669098478442,3,29,12,"(2,1,1,0)",234,0.09744373437065852
185,6.634609312810184,3,1,0,0.5850642161678036,2.280401444522026,0,25,6,"(2,1,1,0)",235,0.09742984162267297
186,3.6379186185961396,4,2,0,0.034180543590544094,0.8605455397134837,0,30,0,"(2,1,1,0)",236,0.09741594887468742
187,4.6412259811713525,3,1,0,0.6084760165442371,1.1852366145052853,3,19,1,"(2,1,1,0)",237,0.09740205612670187
188,5.644531390461022,4,2,0,0.2601110802505365,6.227648313102097,2,17,17,"(2,1,1,0)",238,0.09738816337871632
189,5.6478348363962985,6,0,0,0.0815397041674744,0.13793581670774774,1,15,18,"(2,1,1,0)",239,0.09737427063073076
190,7.651136308914314,3,0,0,0.07318807190487496,0.4142367771250059,1,27,13,"(2,1,1,0)",240,0.09736037788274521
191,4.654435797958207,2,0,0,1.5618714752066094,4.144301902140658,3,21,4,"(2,1,1,0)",241,0.09734648513475966
192,2.6577332934771665,3,0,0,0.9459403052610162,0.17189459500442203,1,23,1,"(2,1,1,0)",242,0.09733259238677411
193,6.661028785426446,1,4,0,3.1673180808158605,1.6759488572866637,1,15,7,"(2,1,1,0)",243,0.09731869963878856
194,7.664322263767406,4,2,0,0.10455845699063276,1.7114169155096663,0,16,3,"(2,1,1,0)",244,0.09730480689080301
195,2.6676137184675417,0,1,0,0.6980872446155324,0.25607101981421965,3,19,4,"(2,1,1,0)",245,0.09729091414281746
196,4.67090313950051,4,2,0,1.5087954383679978,0.4235754460742725,3,21,1,"(2,1,1,0)",246,0.09727702139483191
197,8.674190516846163,0,1,0,3.0042967547319797,0.3811762194893037,1,34,17,"(2,1,1,0)",247,0.09726312864684636
198,7.677475840490583,3,1,0,1.059051064292436,3.161553579321803,0,18,21,"(2,1,1,0)",248,0.0972492358988608
199,6.6807591004261,4,0,0,1.2371429700816998,1.961494986923362,1,24,11,"(2,1,1,0)",249,0.09723534315087524
200,8.684040286651337,1,1,0,0.654431061284998,1.6013797581082707,2,22,18,"(2,1,1,0)",250,0.0972214504028897
201,7.687319389171233,3,0,0,0.4523239853922297,8.158390756734592,1,28,7,"(2,1,1,0)",251,0.09720755765490414
202,4.690596397997069,2,1,0,0.38867975318660664,2.2233523955290573,0,19,8,"(2,1,1,0)",252,0.0971936649069186
203,7.693871303146512,2,2,0,0.5072381608767047,5.195786400807587,3,18,6,"(2,1,1,0)",253,0.09717977215893304
204,7.6971440946436305,4,1,0,1.183706776647011,1.0571881391241686,3,29,24,"(2,1,1,0)",254,0.0971658794109475
205,2.700414762518935,2,1,0,0.7391057784769985,2.993916462767986,1,26,5,"(2,1,1,0)",255,0.09715198666296194
206,4.703683296809404,3,0,0,0.2275251606931824,0.5928309866595174,0,16,6,"(2,1,1,0)",256,0.09713809391497638
207,3.706949687558514,1,1,0,1.0443455956175762,0.5931731677117871,1,23,6,"(2,1,1,0)",257,0.09712420116699083
208,5.710213924816274,4,0,0,0.7444022167735418,3.1196896259185456,2,23,8,"(2,1,1,0)",258,0.09711030841900528
209,7.71347599863925,5,1,0,0.789589110672928,3.596057321582229,3,31,17,"(2,1,1,0)",259,0.09709641567101973
210,3.7167358990906005,5,0,0,0.8345608492193701,0.8740623747665389,0,30,1,"(2,1,1,0)",260,0.09708252292303418
211,3.719993616240102,3,1,0,0.34435773878621145,0.2536989157678102,3,32,7,"(2,1,1,0)",261,0.09706863017504863
212,5.723249140164184,3,1,0,0.09174233692728367,0.731046507615529,1,33,3,"(2,1,1,0)",262,0.09705473742706308
213,2.726502460945957,3,1,0,0.8628575690282558,0.36679309099067947,1,16,2,"(2,1,1,0)",263,0.09704084467907753
214,2.729753568675239,4,0,0,0.7562363678429541,1.7279009352826349,3,15,2,"(2,1,1,0)",264,0.09702695193109198
215,10.733002453448595,1,1,0,0.8447134575866893,0.5575968666885428,0,26,10,"(2,1,1,0)",265,0.09701305918310642
216,6.736249105369356,3,1,0,1.2923598160906167,2.2999173637316286,3,16,7,"(2,1,1,0)",266,0.09699916643512087
217,9.739493514547659,7,1,0,0.2690774304319625,0.07462054373418157,0,28,9,"(2,1,1,0)",267,0.09698527368713532
218,6.742735671100469,4,0,0,1.5718767572524874,1.0558220298423704,2,33,18,"(2,1,1,0)",268,0.09697138093914977
219,9.745975565151618,2,0,0,1.4049015844231718,0.17023816947744771,0,17,20,"(2,1,1,0)",269,0.09695748819116422
220,7.749213186831824,7,4,0,1.9346956641622903,2.6986019898820297,1,16,14,"(2,1,1,0)",270,0.09694359544317867
221,7.752448526278731,2,0,0,0.20752317182311036,0.826416580952797,3,16,7,"(2,1,1,0)",271,0.09692970269519312
222,12.755681573636934,3,1,0,0.44676089956014176,2.9735605703283077,1,25,6,"(2,1,1,0)",272,0.09691580994720757
223,5.75891231905801,3,0,0,2.176310033911032,2.1278684287276377,1,16,4,"(2,1,1,0)",273,0.09690191719922202
