step,vehicles,pedestrians,waiting_vehicles,waiting_pedestrians,avg_vehicle_wait,avg_pedestrian_wait,phase,phase_duration,time_in_phase
45,6.15691819145569,1,4,0,2.2389287651716177,4.706701472640952,3,31,0
46,6.160397848657718,2,5,2,1.0157291228372847,7.876428278417295,3,34,14
47,5.163877017260082,3,1,1,0.1699664003334258,3.4980332070382927,3,38,28
48,8.167355686664632,3,1,1,0.582033731148008,2.5403133804737577,2,33,25
49,5.170833846274735,3,3,0,0.3593226031704431,4.144020542771353,1,24,24
50,5.174311485495316,1,1,2,0.3596802603253705,0.10621778094446552,1,35,9
51,7.177788593732883,5,3,0,0.35561210960188344,4.8162405977723175,3,30,12
52,5.181265160395561,3,4,4,0.6503222747097299,0.8251784233430901,2,31,2
53,4.184741174893123,5,3,2,0.16996657060948006,0.14581148013500936,2,25,27
54,8.188216626637029,5,3,0,0.34905157812956755,2.861101414739182,0,29,22
55,4.191691505040448,2,1,1,1.4506477562448963,3.493748669674825,3,35,25
56,5.195165799518299,4,0,0,2.1084214306864806,2.4666685256504546,2,24,4
57,6.198639499487278,5,1,2,0.016620814547379688,1.0774944392403436,2,31,16
58,3.2021125943658926,2,1,3,0.10457447599213786,0.31165758707415403,3,20,28
59,5.205585073574493,1,2,1,2.3176168744927192,3.6632423383086783,3,24,7
60,8.209056926535307,1,2,2,0.2899572303066103,0.12128700909764895,1,31,1
61,4.212528142672467,2,0,1,0.4490668697370424,3.564639966507255,0,35,6
62,1.2159987114120456,1,3,1,0.4933353634243234,7.89265689049364,0,25,20
63,7.219468622182091,3,1,5,2.410791704335477,14.37227624334232,1,24,11
64,7.222937864412651,1,2,1,0.21316983151576732,1.2617204325296763,1,39,5
65,4.226406427535814,3,2,1,2.0090231309774698,0.287581327825619,1,38,20
66,3.2298743009857334,2,3,2,0.7566384690763698,0.24825760059855378,0,27,21
67,7.233341474198666,4,3,2,1.8343560522420348,1.69088255698831,2,27,29
68,10.236807936613001,4,3,2,1.3979049446944207,3.9225933679882736,3,26,20
69,7.240273677669294,6,1,1,1.5805699963359274,0.12265606214824776,3,31,19
70,7.243738686810295,2,1,0,0.1450383411768058,0.46079043948993326,0,38,21
71,3.2472029534809854,3,3,0,0.44315283411851364,2.22057727075013,0,38,20
72,7.2506664671286085,4,3,0,0.3092219655856756,0.2233261531913281,3,34,1
73,7.254129217202701,2,1,0,0.16150221089719272,5.267781827284006,3,38,6
74,5.257591193155125,3,3,1,1.2234317941940045,1.7484088276659493,0,36,5
75,4.261052384440103,3,1,2,1.4254502746091158,1.2228072086796662,2,20,24
76,6.264512780514245,2,2,1,0.1830553003876663,0.033301234457946756,1,22,0
77,4.267972370836584,3,3,0,1.7558542504695278,0.299742264069349,1,20,16
78,8.27143114486861,4,1,1,0.40563683782902255,4.394957614696684,3,33,27
79,6.274889092074293,3,3,1,0.5674586456883588,3.0013071770962685,2,32,27
80,4.278346201920131,3,0,2,5.998674973070084,0.05149064026080846,0,23,29
81,5.281802463875166,2,3,1,0.25581011362719397,9.121550638248637,0,20,21
82,6.2852578674110235,5,1,1,0.15084014698709486,1.0895048717697007,2,29,5
83,8.288712402001947,1,0,2,0.3752049101202351,2.330992147880627,0,26,29
84,6.292166057124823,2,4,1,3.222465585644878,3.205752328384209,0,39,3
85,7.295618822259221,4,1,0,0.15346822800415807,7.838529804072284,3,25,9
86,7.299070686887419,3,3,1,1.1483601520122726,5.528051922392701,1,37,21
87,8.302521640494438,2,1,2,1.8905230887816862,2.2746176600262187,1,32,18
88,6.305971672568076,0,3,0,3.0669684440926583,0.37517038276879444,3,21,5
89,7.309420772598936,3,1,1,0.7801776920852945,4.661172786413866,3,30,1
90,8.312868930080462,4,0,1,0.7343014362503658,4.24229697906232,3,26,7
91,2.316316134508967,6,1,2,2.1095831651792465,2.5481748550582046,3,36,5
92,2.31976237538367,3,1,2,0.26154627784963325,11.327697424791655,3,34,8
93,9.323207642206722,4,2,1,0.7442284074752895,1.878514678174764,1,30,14
94,6.326651924483245,2,3,1,1.2184470596745747,0.6011478481314672,0,21,24
95,5.330095211721355,4,4,2,1.4451401843850822,0.7317973811042698,1,30,18
96,3.3335374934322046,3,0,1,0.14233204457579854,1.3047558135082236,1,33,21
97,7.336978759130005,4,1,0,2.422354250762322,1.3735000620766433,2,28,14
98,5.340418998332065,3,2,1,2.0461324888925008,4.4469545907198595,0,32,21
99,5.343858200558819,3,0,2,0.4575989871542141,5.4497224867468175,3,28,3
100,3.3472963553338606,3,1,2,0.7763893314885778,1.206160652161927,2,34,8
101,5.350733452183974,1,3,1,0.5814891809502654,7.264780799909544,0,21,21
102,6.354169480639166,6,3,3,4.762228104326583,6.580677620767949,2,29,23
103,9.3576044302327,6,1,0,1.0524601929248316,1.3215176563886464,3,23,17
104,7.36103829050112,0,1,0,0.3784170595233216,5.063709217587505,2,25,12
105,5.364471050984295,1,2,2,1.6442558489162502,0.2992680678403581,2,32,10
106,6.36790270122544,4,2,0,2.0687490517002427,1.7896779179712494,1,23,28
107,6.371333230771154,1,0,3,1.554117516124095,3.117848372995648,3,21,23
108,6.37476262917145,5,4,0,0.10465938670440496,1.0599707303100743,3,32,2
109,3.3781908859797825,3,1,2,0.4071673858087135,0.05840593302699812,1,29,2
110,3.3816179907530897,3,4,0,0.5401218077804216,0.14265415605933518,1,26,17
111,6.385043933051815,4,2,1,0.29335442040389714,5.624064251179977,0,24,24
112,8.388468702439944,3,3,3,0.7878273013489655,1.8270820560638665,3,23,19
113,2.3918922884850353,4,1,0,0.4619097525663901,0.4130595855926871,2,26,6
114,6.395314680758252,3,6,0,0.0445715858578861,5.809952804565237,2,29,24
115,5.398735868834394,4,3,0,1.266835605798977,7.126198416660687,0,30,28
116,2.402155842291929,2,1,0,0.6871720323884509,0.9865718782454973,3,31,16
117,5.405574590713025,3,4,0,0.03421436739892791,2.204639110607735,0,37,12
118,7.40899210368358,4,1,0,3.2418607528608057,0.9855598247844979,1,39,13
119,2.4124083707932593,4,1,2,1.263343856530253,3.2298456860584057,2,23,29
120,5.415823381635518,3,5,0,0.092187021326764,7.3879354721834805,2,20,11
121,6.419237125807643,3,4,1,2.6421670340419765,0.07063121197738122,1,22,7
122,11.422649592910778,5,0,0,0.6554556395705529,1.5913068845827092,1,27,27
123,3.426060772549953,3,3,1,0.3286999728014014,4.012050629566159,1,23,29
124,9.429470654334127,5,2,2,0.05651865266798499,2.921291904325143,0,31,18
125,3.4328792278762057,4,5,1,1.6389530796177014,0.5029514733260745,2,36,0
126,3.436286482793085,3,2,1,4.1810151352924825,1.2447476394439396,0,24,17
127,7.439692408705675,3,4,1,0.24594234660253714,1.579109860129653,2,36,13
128,2.4430969952389345,10,4,0,0.6473061030322298,3.4159545538628375,1,37,17
129,3.4465002320219025,4,5,0,0.3253991150422967,1.5363055464491084,0,21,19
130,8.44990210868773,4,2,1,1.0196768902185458,0.9421392458800824,2,35,27
131,3.45330261487371,3,0,0,2.4602934619855,1.340370717950591,2,31,22
132,8.45670174022131,1,0,2,0.16807679769856815,8.519786770705805,0,28,4
133,10.460099474376209,5,2,0,0.42494545797995736,0.11974528186169997,2,22,8
134,4.463495806988314,5,2,2,0.21589862372182225,1.0153898079491226,0,32,13
135,10.46689072771181,0,2,2,0.31157342650134495,0.5515439138467114,0,21,4
136,9.47028422620518,1,3,1,0.16701759073249506,1.2791628089672136,1,32,2
137,4.473676292131238,1,3,0,1.2082187132524107,2.20323521498516,3,35,21
138,7.477066915157161,2,3,1,0.05336983751462122,0.5400542880056859,1,22,16
139,4.480456084954527,2,0,2,1.5666825629674503,1.3899710216868892,1,23,15
140,9.483843791199336,4,2,2,0.18395570404872777,4.398497805251838,1,25,6
141,9.487230023572044,4,2,0,0.3722047519292378,2.568919936175194,0,35,15
142,7.490614771757605,4,4,0,0.5082580561927357,2.842678842132693,0,22,13
143,7.493998025445486,3,0,0,0.5756815631786611,7.048749944649703,1,29,11
144,3.4973797743297097,3,3,1,0.22783036596955694,1.3146820739154899,0,24,27
145,6.500760008108883,5,4,0,0.8052228191011468,15.548989621500846,1,24,0
146,3.504138716486227,5,1,0,2.7018813570932734,1.2033469354194466,2,37,18
147,6.507515889169611,0,0,0,0.7365958182409874,0.5043239752086233,1,31,12
148,10.510891515871581,3,4,1,0.03389834672481283,4.119014528726371,2,21,2
149,3.514265586309392,5,7,1,0.5419397557470937,1.7832264060583896,3,26,5
150,7.5176380902050415,3,0,1,0.6192917817656449,1.057605880250667,2,28,1
151,8.521009017285296,4,3,4,0.3997939560568097,0.7069821184413365,0,29,16
152,6.524378357281729,3,6,1,0.4211264844988031,4.307804473848292,1,24,3
153,11.527746099930745,6,0,1,0.266162038746505,2.0752712110377596,2,34,9
154,2.5311122349736177,1,0,2,3.7668691364593476,2.4481617640440363,1,22,2
155,6.534476752156514,5,4,3,0.9046086663028565,1.5509835878206508,2,37,26
156,8.537839641230532,3,1,1,0.9234140060233964,0.6034885420519005,0,25,11
157,2.5412008919517275,2,4,2,0.6653224293430099,1.029648974930058,0,25,1
158,4.544560494081149,6,2,1,1.1514114518375769,0.3444384534661818,0,24,29
159,7.547918437384865,6,3,1,0.6604510101775886,1.0432979120411179,3,32,6
160,3.551274711633998,2,4,1,1.4014172219111,6.096006224001957,2,22,10
161,6.554629306604756,4,2,0,0.11081820503204252,2.1383602313874404,1,24,20
162,5.557982212078459,0,4,1,0.03615543401248027,0.1182586236273662,0,22,20
163,11.561333417841576,2,0,0,0.9918125789927676,3.611398870102729,2,21,20
164,5.564682913685753,1,2,1,1.5895432935640983,3.648888916690238,1,34,22
165,9.568030689407845,4,1,0,1.3268150358413195,3.5625087337184382,3,31,25
166,10.571376734809947,1,1,2,0.6102804994265151,2.396259813346128,2,20,3
167,2.574721039699424,1,2,2,0.0038663499086576112,0.08004705965666407,1,29,14
168,3.578063593888943,1,1,4,0.15450338809345443,1.205757928071572,2,21,0
169,6.581404387196505,2,2,0,0.5971570557465709,0.9836298079776093,2,27,28
170,8.584743409445473,3,3,2,1.3100473924724485,0.05340717762247895,2,24,29
171,3.588080650464608,1,3,1,0.4488384433179843,0.2238961052022822,0,37,19
172,5.591416100088093,6,2,2,0.9101176158331776,1.3636496119867774,2,21,18
173,4.5947497481555715,5,2,0,0.23160995838702772,5.316614418798018,2,37,0
174,5.598081584512173,1,0,0,0.2229671830312643,8.1584360910537,1,32,26
175,10.601411599008546,1,3,2,1.6293584323680121,3.400842158192603,2,28,23
176,6.604739781500889,2,2,1,0.6923488209915883,0.6392625441920925,3,25,5
177,8.60806612185098,3,1,1,3.571957658486993,6.368700798302006,0,35,9
178,10.611390609926211,3,4,0,0.28484632287825645,9.539546178901839,0,34,13
179,9.614713235599615,3,3,1,0.712531566669259,1.4063795566838642,2,39,14
180,9.618033988749895,2,2,4,0.25032945457286543,1.8448237742503109,2,34,22
181,6.621352859261464,5,3,1,0.354783854009375,1.0616338215179741,1,28,17
182,3.624669837024465,1,0,0,1.2261750730633125,4.777155314675603,3,25,6
183,6.62798491193481,1,3,3,2.8846131715729086,0.883426702546309,2,35,9
184,11.631298073894206,6,3,0,0.16494575706048256,0.2877077256876436,0,30,27
185,2.634609312810184,1,1,1,0.16654270416823946,1.522020769668925,0,32,26
186,8.63791861859614,4,2,0,3.655534717338927,0.46441467862314334,2,22,6
187,6.6412259811713525,2,0,0,1.5994235180192347,1.409483423561182,1,32,1
188,8.644531390461022,5,5,0,0.45019690136143875,2.2012769791899105,2,35,9
189,10.6478348363963,3,3,0,0.6269374203556424,4.056335112579862,2,23,1
190,7.651136308914314,3,2,2,1.8664960062977383,2.9440269562147985,1,22,26
191,3.654435797958208,4,2,0,1.4400622446631535,3.353834784091183,2,35,9
192,14.657733293477166,4,3,0,1.1284410424504048,2.2321527963106664,3,26,16
193,2.661028785426446,0,1,0,2.4004696521467115,0.2121707203745148,1,28,2
194,6.664322263767406,6,3,1,0.449473657202997,5.301258856521974,1,38,6
195,8.667613718467543,2,3,0,0.2847764500751872,2.9945320908728363,3,32,17
196,5.67090313950051,1,0,1,0.6327202702890459,3.9003057501552414,0,20,14
197,8.674190516846163,3,1,4,0.008996719441729582,7.072524885994139,3,25,6
198,3.6774758404905827,3,1,0,0.8493925604264472,8.615529911586236,2,27,2
199,7.6807591004261,2,1,0,0.5453948210391192,8.275403022395738,2,25,20
200,3.6840402866513373,3,2,3,0.16978091818229724,0.7853644108282494,3,35,0
201,9.687319389171233,0,0,0,2.50000313312909,4.769987904898606,1,25,13
202,8.69059639799707,2,1,0,0.2594235028731859,7.965048581764994,0,26,18
203,3.6938713031465116,1,0,0,1.4688651458836304,3.0631558271345933,0,26,8
204,4.6971440946436305,4,1,0,1.4678797190059174,3.1462698377033234,3,28,19
205,6.7004147625189345,3,3,1,0.0522282940995816,5.389705022254776,3,34,25
206,6.703683296809404,6,1,4,0.6695875586774583,0.8476080880736224,0,38,21
207,9.706949687558515,3,2,1,0.7763763070269298,0.5325668160350505,2,28,19
208,8.710213924816275,3,4,1,2.0413557691127053,1.4360149206167874,3,32,29
209,12.71347599863925,1,1,2,1.1752125719557014,7.483276677907899,2,29,3
210,8.716735899090601,3,3,0,0.07850011417203971,0.15593351266404226,2,23,3
211,8.719993616240103,3,4,0,0.714723956897818,1.4607827339756558,1,27,2
212,7.723249140164184,2,1,0,0.429475945241843,2.9344065223446125,3,20,13
213,5.726502460945957,1,3,1,0.2249667679998287,2.633661009624954,1,34,15
214,8.729753568675239,6,1,0,0.3876277510567547,4.150514298848485,2,39,5
215,5.733002453448594,2,1,1,2.200764162247003,0.7854277239043084,2,26,21
216,3.736249105369356,2,3,0,1.1610950914249267,0.6662799697954411,1,25,6
217,4.739493514547658,5,1,0,0.6860158025863395,4.3925908234704085,0,37,16
218,7.742735671100469,4,2,0,1.5296491100908978,4.367634641928292,1,35,15
219,3.745975565151618,3,1,0,4.138794487178241,0.7153013798413038,0,21,17
220,8.749213186831824,2,2,1,3.1434755182037346,1.4507534096333075,0,38,26
221,4.752448526278731,3,3,0,0.12224703732553927,1.5022090952502243,3,38,9
222,15.755681573636934,5,2,1,0.48466232051161706,1.8001157006769073,1,39,7
223,6.75891231905801,4,2,1,0.4507278195675128,4.5261200300127316,2,24,13
224,10.762140752700548,6,2,0,0.9685125114662998,2.311984356644586,1,24,8
225,6.765366864730179,1,2,0,0.11371811243439156,1.8256241115332283,1,39,19
226,4.768590645319607,1,0,1,3.056932442482203,0.8544127745094211,0,34,15
227,6.771812084648637,2,3,4,1.8308216956475882,0.10311339341699191,2,28,20
228,9.775031172904207,3,1,1,0.15718062827042395,6.256001354432641,2,26,7
229,3.7782479002804124,2,3,0,0.35206761865002745,3.1487775191375107,1,24,9
230,7.781462256978547,1,1,1,0.18526989100145194,0.19329430209207632,1,22,26
231,6.784674233207123,1,0,2,0.7793143849988918,0.8829366585299875,2,37,19
232,6.787883819181902,3,3,0,2.6500609607814023,2.6035020986167376,2,35,13
233,1.79109100512593,2,2,1,1.2415043976952462,0.5865243259148435,1,32,25
234,6.794295781269561,4,0,0,1.116244252588731,0.2775705422360427,3,37,26
235,7.797498137850493,3,3,1,0.09289412316119032,1.9980502898507126,2,36,1
236,7.80069806511379,3,2,1,2.841117766461522,0.9976237986665117,3,36,7
237,8.80389555331192,0,0,2,0.3954662885334209,4.396874836108468,0,31,23
238,10.80709059270478,4,1,1,2.7647162940411762,7.5253133976900415,2,29,7
239,5.810283173559725,4,4,0,0.7262230097029503,2.2147784427852852,0,39,6
240,11.8134732861516,3,2,3,0.9029162739639903,3.1197753512608712,1,34,14
241,4.81666092076277,4,3,2,1.1146417709175611,10.250221230699491,3,34,22
242,5.819846067683145,3,4,0,0.4084719303297155,0.6403066704139857,0,30,28
243,7.823028717210217,1,2,1,2.166220722721111,5.8810837216664344,3,29,26
244,7.826208859649084,1,2,0,3.814127500890163,2.0487107546807857,2,33,26
245,9.829386485312478,7,0,1,0.40004836812281286,0.5195296182517863,0,32,13
246,3.8325615845208025,2,1,0,0.00016864602572318088,0.8533001376550822,3,35,10
247,5.835734147602153,6,1,2,0.8948779627407352,2.9125335142432816,2,35,8
248,6.838904164892354,4,5,0,1.078286354545191,6.376786263783599,3,28,1
249,2.842071626734982,6,2,1,0.07871527282462233,0.3166610599794472,0,32,0
250,6.8452365234813985,2,3,1,1.340968775087375,2.548958588426187,2,33,9
251,5.84839884549078,3,5,1,0.4144855395861124,1.182571794153575,1,34,28
252,3.8515585831301453,1,4,2,3.8233067984580194,0.970400416286815,1,36,13
253,9.854715726774385,3,1,0,1.8246956749020935,0.4962581357872239,3,20,25
254,5.857870266806292,3,2,2,0.09042039352926026,5.476702210933128,2,35,19
255,2.8610221936165905,2,1,0,3.7046019590584773,1.1323959107205215,3,38,28
256,8.864171497603964,1,3,0,0.3093267460815251,1.464261705122711,0,38,26
257,2.8673181691750886,2,2,0,1.9213306471748424,0.5810249571879569,1,21,5
258,2.870462198744655,3,1,0,1.2369659354686304,2.340235565633756,0,23,18
259,5.8736035767354045,5,2,1,0.9222200777299591,1.4504338265894998,2,24,6
260,3.876742293578155,3,2,1,3.237664875440191,0.5360854276917127,0,25,12
261,6.87987833971183,2,1,3,1.1173056706208988,0.9294055853137391,1,27,24
262,5.88301170558349,1,2,1,2.348442826814214,1.2405282533307966,2,27,26
263,6.88614238164836,2,0,1,2.1102087831846497,0.20025975236548535,3,33,17
264,8.889270358369854,6,0,1,1.3383314121193284,0.13313562651970454,2,26,10
265,3.8923956262196175,4,0,0,0.8088772283025819,12.227556842952618,0,22,2
266,10.89551817567754,0,1,0,0.12397582661812065,6.567776618710409,2,31,17
267,4.898637997231793,5,3,1,0.20067578583887427,2.2483120037987323,0,38,6
268,4.9017550813788615,3,2,2,0.9132186862578885,0.7018452302712128,0,32,18
269,2.9048694186235653,4,4,1,0.48453112428829,0.6612579490404631,0,20,9
270,5.9079809994790935,5,2,1,0.2796016067024964,1.451890115630186,0,26,26
271,3.911089814467031,0,2,2,4.096653978439579,1.2200345840481426,1,25,27
272,5.914195854117389,5,0,0,2.347491960462602,3.3015443591874987,1,28,6
273,5.9172991089686295,2,3,3,0.6751410182330383,1.30686313906035,0,20,1
274,5.920399569567703,2,3,2,2.458364390780184,7.773595351833986,0,27,13
275,3.923497226470068,4,1,2,0.07356360719093294,0.7289241005781365,1,36,21
276,6.926592070239724,0,2,0,0.12540298412238887,0.06751387177472172,1,37,29
277,10.92968409144924,4,3,0,3.548698840811736,2.311473325713484,3,20,13
278,1.9327732806797824,2,2,0,1.4007798584004727,11.04331172945459,1,31,2
279,7.935859628521147,1,3,2,1.7342904383174027,4.766487299029808,1,33,8
280,3.9389431255717815,3,2,2,2.146926713968052,0.013067611707293396,0,38,19
281,3.94202376243882,6,1,1,0.06563109053059328,2.1403717163161198,2,20,29
282,4.945101529738108,5,2,1,1.5182425571459546,1.5118898125770022,1,25,14
283,10.948176418094233,3,5,0,0.5295597159342623,3.656491982897023,0,39,5
284,10.951248418140551,1,1,0,2.0445034368803916,0.7282912013471923,2,20,11
285,2.9543175205192167,2,2,1,0.5886179942788367,0.6984379083707808,1,36,24
286,4.957383715881214,2,0,1,1.751227929193807,0.9520814575932512,1,22,13
287,6.960446994886378,3,5,0,2.778693629386299,0.7064464867502095,1,24,15
288,6.96350734820343,3,2,2,0.4973294056254382,0.055454997027497274,3,35,7
289,7.966564766510005,2,4,0,0.7604171469453613,2.4734368512155513,3,35,27
290,4.969619240492674,2,1,2,0.9251341729135392,2.3717299158203993,0,25,9
291,6.972670760846981,7,3,3,1.3970967027331807,4.7727124533496905,0,37,3
292,6.9757193182774655,3,2,2,2.23028879462663,2.9912261816822676,2,37,20
293,8.978764903497693,3,1,0,0.2834593229435056,2.5601653438053895,2,38,2
294,10.981807507230283,6,1,0,3.4945314822524205,0.660218318318228,3,36,27
295,3.9848471202069344,2,2,1,1.847794223279644,3.3689400706766035,0,30,2
296,3.987883733168462,5,2,0,0.18033796791833753,4.834085127440905,0,29,6
297,4.990917336864815,3,3,2,0.49107820582840045,1.4670504371185686,1,37,29
298,5.993947922055111,4,2,0,0.34740117402305193,1.944068440345657,3,37,2
299,4.99697547950766,4,0,3,0.20782827371085222,3.83509132127506,1,38,25
300,9.0,1,1,3,1.2418639729563101,1.5666260965051946,3,32,9
301,11.003021474318915,0,2,1,0.08166979304730473,2.7453864471720686,1,29,19
302,8.00603989326047,6,3,1,1.0958668385511223,0.6046197549727748,3,30,4
303,6.009055247630038,3,1,1,2.1103077457149224,2.1941945955314965,1,20,28
304,8.012067528242328,1,2,2,0.5391020527949544,0.09471609925495462,1,32,25
305,4.015076725921408,1,3,0,0.8072459236204014,0.5860540374421773,1,23,13
306,7.018082831500743,3,3,0,0.18678193084078276,6.341751486100343,3,36,9
307,6.021085835823211,5,1,0,1.5293151776061988,2.2610146318973117,1,24,8
308,8.024085729741143,4,5,2,2.8729310731002147,1.5197565806105031,3,25,5
309,8.02708250411634,3,1,2,1.5835399317204117,1.8452168377233171,1,27,2
310,3.0300761498201085,2,1,1,0.15748787552975252,7.337599660330884e-05,1,36,10
311,9.033066657733283,1,0,0,0.5085878213950462,1.5386115668415652,1,31,2
312,6.036054018746261,3,2,0,0.22823005446346337,0.38866110166518064,1,37,5
313,4.039038223759019,7,2,0,1.068265312622518,4.882163443797411,0,28,15
314,8.042019263681153,2,2,1,1.5383387607150805,1.334059777194418,1,25,5
315,8.044997129431898,5,5,0,4.441815015919599,0.6599427782712011,2,38,6
316,7.047971811940158,3,2,1,0.8387984111440863,1.7928278456763285,2,32,8
317,9.050943302144535,1,1,3,1.2169364688279871,1.1381538393763282,0,22,10
318,10.053911590993355,4,5,0,0.13523123662368075,1.540670822050814,0,36,12
319,10.056876669444694,1,2,1,0.2024623931697567,3.2342970760737577,0,23,13
320,5.059838528466409,3,1,2,0.31628163412593374,1.7794440466858168,3,32,2
321,5.062797159036165,2,4,2,0.06703431003327256,6.161405949400677,2,37,5
322,5.0657525521414595,0,0,3,0.629455585927731,0.7420618679936662,0,29,13
323,5.068704698779653,5,0,0,3.6237943610387444,0.9865525462806506,0,24,9
324,15.071653589957993,2,1,1,1.2698330671578721,3.7575848393291396,1,39,13
325,8.074599216693647,2,3,1,0.6873116056981055,3.8241190486393553,2,31,15
326,6.077541570013726,6,2,0,0.817177095479847,9.386804221181512,2,25,24
327,6.08048064095531,4,2,1,0.19026779077190442,2.474794263806056,0,25,11
328,6.083416420565479,0,1,0,0.12209479158549363,2.1323138404604878,0,33,25
329,6.086348899901341,2,1,1,0.35975373918761117,2.2219800843609137,2,21,16
330,10.089278070030055,2,3,0,0.4391970453939084,1.120890988683743,1,23,26
331,9.092203922028858,1,3,0,0.15728961703429992,1.2151649722484683,1,21,21
332,4.0951264469851,1,3,2,1.4108772249865968,0.8207518569895212,2,25,21
333,4.098045635996264,11,1,1,3.079491313673326,2.271312538621632,0,20,23
334,9.10096148016999,3,1,0,0.22995278644698525,4.585228861577821,0,29,10
335,12.103873970624116,5,0,0,2.1851485927525185,2.5092904781199414,2,27,4
336,9.106783098486687,3,0,0,0.4251397280852024,1.599403769856176,2,30,10
337,6.109688854895999,5,3,2,1.120423523899429,0.16435870326126226,0,32,26
338,5.11259123100061,3,3,0,0.11145788923932175,0.7114109355397682,2,31,18
339,7.11549021795938,4,7,0,0.32821869337538073,4.661074354941515,2,24,18
340,5.118385806941494,5,0,1,0.2064836068325145,1.2613247126590534,2,38,20
341,5.121277989126483,4,2,1,0.2110510649424878,5.419383133804501,2,37,15
342,8.12416675570426,2,4,0,3.2520472661039372,0.6950085879498445,0,34,29
343,1.127052097875143,4,4,0,0.5427719885256169,2.143412760290376,0,31,7
344,4.129934006849876,7,1,2,0.26191318844409234,8.292475459140263,3,33,29
345,3.1328124738496657,3,4,0,0.22546632985067855,2.03461562931807,0,30,23
346,2.1356874901062026,3,2,1,1.3410962913770632,0.5858947365757031,3,24,7
347,7.138559046861689,3,1,1,1.521097007815111,0.6519426524676635,1,38,20
348,9.141427135368863,1,1,2,4.679956703608171,0.42900826868727526,0,21,18
